0,Category of impact,Location,Production,Transport à l'usine,transformation,Transport au marché
,Climate change,MADIMBA,16.117455138662315,1.543230016313214,65.08972267536704,3.5399673735725936
,Climate change,KINSHASA,19.249592169657426,15.432300163132137,65.08972267536704,0.3539967373572593
,Climate change,MATADI,18.270799347471453,2.871125611745514,5.742251223491028,9.673735725938007
,Climate change,PLATEAU,19.249592169657426,3.0831973898858074,65.08972267536704,5.318107667210441
,Ozone depletion,MADIMBA,5.487646293888167,2.184655396618986,68.79063719115734,5.032509752925878
,Ozone depletion,KINSHASA,8.790637191157346,21.846553966189852,68.79063719115734,0.5032509752925878
,Ozone depletion,MATADI,3.289986996098829,3.836150845253576,43.04291287386216,13.784135240572173
,Ozone depletion,PLATEAU,8.790637191157346,4.382314694408322,68.79063719115734,7.555266579973993
,Terrestrial acidification,MADIMBA,6.85459940652819,1.400593471810089,75.07418397626112,3.204747774480712
,Terrestrial acidification,KINSHASA,10.534124629080118,14.00593471810089,75.07418397626112,0.3204747774480712
,Terrestrial acidification,MATADI,4.451038575667655,1.4213649851632046,8.842729970326408,8.783382789317507
,Terrestrial acidification,PLATEAU,10.534124629080118,2.7982195845697326,75.07418397626112,4.83679525222552
,Freshwater eutrophication,MADIMBA,99.69604863221883,0.0050455927051671,0.1705167173252279,0.0116413373860182
,Freshwater eutrophication,KINSHASA,99.69604863221883,0.0504559270516717,0.1705167173252279,0.0011641337386018
,Freshwater eutrophication,MATADI,74.77203647416412,0.0005227963525835,0.01370820668693,0.0316109422492401
,Freshwater eutrophication,PLATEAU,99.69604863221883,0.0101215805471124,0.1705167173252279,0.0174468085106382
,Marine eutrophication,MADIMBA,7.365269461077845,1.4431137724550898,74.25149700598801,3.3173652694610776
,Marine eutrophication,KINSHASA,11.137724550898202,14.431137724550895,74.25149700598801,0.3317365269461078
,Marine eutrophication,MATADI,4.880239520958083,1.1676646706586824,3.0898203592814366,9.04191616766467
,Marine eutrophication,PLATEAU,11.137724550898202,2.8862275449101795,74.25149700598801,4.976047904191616
,Human toxicity,MADIMBA,5.5364238410596025,2.423841059602649,66.35761589403974,5.562913907284769
,Human toxicity,KINSHASA,8.860927152317881,24.23841059602649,66.35761589403974,0.5562913907284768
,Human toxicity,MATADI,3.3112582781456954,0.7576158940397351,5.152317880794702,15.099337748344372
